ลำดับ,อ้างอิงภายใน,ชื่อ,Sales Price,ปริมาณในมือ,กล่องขาออก,ปริมาณพยากรณ์,หน่วยวัด,Activity Exception Decoration
0,2DKA00400, - เปลี่ยนชุดดรั้ม,0,0,0,0,ชุด,
1,2DKA00401, - เปลี่ยนชุดเมนชาร์จ ,0,0,0,0,ชุด,
2,2DKA00398, - เปลี่ยนลูกยางดึงกระดาษ,0,0,0,0,ชุด,
3,2DKA00399, - เปลี่ยนลูกยางป้อนกระดาษ ,0,0,0,0,ชุด,
4,2DKA00396, - เปลี่ยนลูกยางฟีดกระดาษ,0,0,0,0,ชุด,
5,2DKA00402, - เปลี่ยนลูกยางสำหรับปาดหมึก ,0,0,0,0,ชุด,
6,2DKA00397, - เปลี่ยนสายพานหลังเครื่อง,0,0,0,0,ชุด,
7,2DKA00943, -ค่าบริการซ่อม,1500,0,0,0,เครื่อง,
8,2DKA00930, -ซ่อมรั่ว เชื่อมรั่ว ล้างระบบสูญญากาศ พร้อมเติมน้ำยาแอร์เต็มระบบ,2500,0,0,0,เครื่อง,
9,2DKA00942, -เปลี่ยนชารจ์ประจุไฟฟ้า,1700,0,0,0,ลูก,
10,2DKA00926, -เปลี่ยนชุดรูมคอนโทรล,1900,0,0,0,เครื่อง,
11,2DKA00929, -เปลี่ยนชุดสตาร์ทรีเลย์,1800,0,0,0,เครื่อง,
12,2DKA00925, -เปลี่ยนดรายเออร์,1300,0,0,0,ชุด,
13,2DKA00924, -เปลี่ยนท่อน้ำทิ้ง,2500,0,0,0,เครื่อง,
14,2DKA00927, -เปลี่ยนท่อส่งน้ำยา (ท่อทองแดง ขนาด 5/8),2000,0,0,0,ชุด,
15,2DKA00939, -เปลี่ยนผงเหล็ก,2200,0,0,0,ถุง,
16,2DKA00932, -เปลี่ยนฟิลเตอร์กรองอากาศ,300,0,0,0,แผ่น,
17,2DKA00941, -เปลี่ยนมอเเตอร์ยกถาดกระดาษ,2300,0,0,0,ชุด,
18,2DKA00928, -เปลี่ยนรีโมคอนโทรล,1800,0,0,0,เครื่อง,
19,2DKA00935, -เปลี่ยนลูกกลิ้งรีดหมึกตัวบน,2600,0,0,0,ลูก,
20,2DKA00936, -เปลี่ยนลูกกลิ้งรีดหมึกตัวล่าง,2800,0,0,0,ลูก,
21,2DKA00937, -เปลี่ยนเซ็นเซอร์เช็คกระดาษ,1200,0,0,0,ชุด,
22,2DKA00934, -เปลี่ยนเทอร์โมรูม,1200,0,0,0,ชุด,
23,2DKA00931, -เปลี่ยนเทอร์โมสตาร์ท,1200,0,0,0,เครื่อง,
24,2DKA00938, -เปลี่ยนแผงเช็ดถาดกระดาษ,1500,0,0,0,ชุด,
25,2DKA00940, -เปลี่ยนแผ่นยางปาดหมึก,1200,0,0,0,แผ่น,
26,2DKA00933, -เปลี่ยนแมกเนติกซ์,1200,0,0,0,เครื่อง,
27,#FNM1299, กระดานแรกสังเวียนโกะ :ชุด เซียนโกะ,175,0,0,0,เล่ม,
28,#AG032, กลองบองโก,1300,15,0,15,ชุด,
29,2DKA00421, เครื่องหมายวิชาพิเศษยุวกาชาดบรรเทาสาธารณภัย,0,0,0,0,อัน,
30,2DKA00422, เครื่องหมายวิชาพิเศษยุวกาชาดพัฒนาบุคลิกภาพ,0,0,0,0,อัน,
31,AC074, แอมโมเนียม โมลิบเดท 50 กรัม ,1145.83,0,0,0,กระป๋อง,
33,#FSB1911,"""บันทึกจับผ้า"" เส้นใยแห่งไมตรีคนอาเซียนลุ่มน้ำโขง",170,0,0,0,เล่ม,
32,#FSB0005,"""บันทึกจับผ้า"" เส้นใยแห่งไมตรีคนอาเซียนลุ่มน้ำโขง",170,0,0,0,เล่ม,
34,#FSD0002,"""ผู้ชนะสิบทิศ"" ฉบับอ่านเอาเรื่อง พิมพ์ 2",450,0,0,0,เล่ม,
35,#FSD0003,"""ผู้ชนะสิบทิศ"" ตามสำนวน ""ยาขอบ""",300,0,0,0,เล่ม,
36,#FSD0001,"""ผู้ชนะสิบทิศ"" พ.2",1000,0,0,0,เล่ม,
37,#FSD0005,"""สามก๊ก"" ฉบับวณิพก พ.2 (บรรจุในกล่องสวยงาม)",800,0,0,0,เล่ม,
38,#FSD0004,"""สามก๊ก"" ฉบับเจ้าพระยาพระคลัง (หน) พิมพ์ครั้งที่ 2",750,0,0,0,เล่ม,
39,MA006D,#ชุดเรียนรู้เศษส่วนทรงสามเหลี่ยม,850,14,1,13,ชุด,
40,#FSB2320,#พี่บ้านเลขที่ 61 ,370,0,0,0,เล่ม,
41,#FSB0006,#เสือข้ามปี คู่นี้ Brother Zone,330,0,0,0,เล่ม,
1,GA004,(งดใช้) บอลกีฬา (ตัวใหม่) 8.5 นิ้ว,59.06,0,0,0,ลูก,
1,HA198,(งานพิมพ์) ชุดการจัดประสบการณ์การเรียนรู้สำหรับเด็กปฐมวัย เพื่อส่งเสริมทักษะชีวิต,0,0,0,0,ใบ,
1,HBA0034-1,(ห้ามใช้) ผ้า TC ขาว,0,0,0,0,เซนติเมตร,
1,HBA0036-1,(ห้ามใช้) ผ้า TC ฟ้าเข้ม 1,0,7315.2,0,7315.2,เซนติเมตร,
1,HBA0077-1,(ห้ามใช้) ผ้า TC ลายดอกคละสี,0,10972.8,0,10972.8,เซนติเมตร,
1,HBA0151-1,(ห้ามใช้) ผ้าเคมีขาว แข็ง,0,0,0,0,เซนติเมตร,
42,#FDD0190,(เตรียมความพร้อม) เก่งอังกฤษระดับเริ่มต้น,220,0,0,0,เล่ม,
394,#FSV0727,** ห้ามขาย ** หัตถเรขานิเทศ (ฉบับสมบูรณ์),500,0,0,0,เล่ม,
43,#FNM1297,*Nanmeebooks สารานุกรมคณิตศาสตร์ เล่ม 4 (แบบเรียน)(แถมแบบฝึกหัด)(ปกอ่อน),295,0,0,0,เล่ม,
44,#FNM0677,*ซูโม่กลัวความมืด: ชุด กว่าหนูจะโตเป็นคนดี,85,0,0,0,เล่ม,
45,#FNM1084,*พจนานุกรมภาพจีน-ไทย สำหรับเยาวชน: ชุด พจนานุกรมภาพภาษา,245,0,0,0,เล่ม,
46,#FNM0935,*ร้อยกรองสอนคิด : ชุด อ่านออก อ่านได้  อ่านเป็น,258,0,0,0,เล่ม,
47,#FNM1013,*สนุกกับคำศัพท์อังกฤษในชีวิตประจำวัน,115,0,0,0,เล่ม,
48,#FNM0985,*แก๊งซ่าท้าทดลอง เล่ม 03: ปริศนาแห่งแสง,165,0,0,0,เล่ม,
49,2DKA00182,- เปลี่ยนหน้า ไม่มียี่ห้อ ไม่มี มอก.,1000,0,0,0,ชุด,
50,2DKA00181,- เปลี่ยนหย่องขิม ไม่มียี่ห้อ ไม่มี มอก.,400,0,0,0,ชุด,
51,2DKA00175,- เปลี่ยนหลัก ไม่มียี่ห้อ ไม่มี มอก.,0,0,0,0,ชุด,
52,#FPL1129,1 2 3 ถั่วหรรษา พัฒนา IQ,115,0,0,0,เล่ม,
53,#FDD0275,1 นาที แนะวิธีดูแลลูกตั้งแต่อยู่ในครรภ์,135,0,0,0,เล่ม,
54,#FDD0219,1 นาที แนะวิธีเรียนเก่ง (ฉบับการ์ตูน),149,0,0,0,เล่ม,
55,#FDD0165,1 นาที แนะวิธีเรียนเก่ง ฉบับสมบูรณ์,135,0,0,0,เล่ม,
56,#FDD0170,1 นาที แนะวิธีแก้ปัญหาการเรียน,125,0,0,0,เล่ม,
57,#FPL0011,1 ปี 12 เดือน,350,0,0,0,เล่ม,
58,#PP026,1 สัปดาห์มี 7 วัน,120,1,0,1,แผ่น,
59,#FSE0005,"1,000 Sentences & Words ประโยคและคำศัพท์ อังกฤษควรรู้ สำหรับเด็กประถมต้น",195,0,0,0,เล่ม,
60,#FSE0006,"1,000 Sentences & Words ประโยคและคำศัพท์ อังกฤษควรรู้ สำหรับเด็กประถมปลาย",195,0,0,0,เล่ม,
61,#FJS0137,"1,000 ภาพคำศัพท์สำหรับคุณหนู ฉบับ ดร.วิทย์ เที่ยงบูรณธรรม (ปกแข็ง)",320,0,0,0,เล่ม,
23,CA0578,1.)  สารละลายเมทิลไวโอเลต 100 ซีซี,0,0,0,0,ชุด,
62,#FSD0007,10 ทศวรรษธงชาติไทย,240,0,0,0,เล่ม,
63,#FPK0007,10 มหาราชชาติไทย,1300,0,0,0,เล่ม,
64,#FNM0392,10 วิธีบำบัดความคิดและพฤติกรรม,245,0,0,0,เล่ม,
65,#FMT0001,10 เกร็ด เกร็ดเด็ดภาษาไทย เล่ม 1,119,0,0,0,เล่ม,
66,#FMT0002,10 เกร็ด เกร็ดเด็ดภาษาไทย เล่ม 2,119,0,0,0,เล่ม,
67,#FEQ0002,10 เกร็ดเด็ด เกร็ดภาษาไทย,119,0,0,0,เล่ม,
68,#FEQ0003,10 เกร็ดเด็ด เกร็ดภาษาไทย เล่ม 2,119,0,0,0,เล่ม,
69,#FMT0010,10 เรื่องเด็ด เกร็ดประวัติศาสตร์ไทย เทคโนโลยีและสังคม ,119,0,0,0,เล่ม,
70,#FEQ0004,10 เรื่องเด็ด เกร็ดประวัติศาสตร์ไทย เทศโนโลยีและสังคม,119,0,0,0,เล่ม,
72,#FEQ0005,10 เรื่องเด็ด เกร็ดประวัติศาสตร์ไทย เศรษฐกิจการค้า การฑูต,119,0,0,0,เล่ม,
71,#FMT0011,10 เรื่องเด็ด เกร็ดประวัติศาสตร์ไทย เศรษฐกิจการค้า การฑูต,119,0,0,0,เล่ม,
73,#FMT0012,10 เหตุเด็ด เกร็ดการเมืองการปกครองไทย,119,0,0,0,เล่ม,
74,#FEQ0006,10 เหตุเด็ด เกร็ดการเมืองการปกครองไทย,119,0,0,0,เล่ม,
75,#FMT0013,10 เหตุเด็ด เกร็ดภาษาและวรรณคดีไทย,119,0,0,0,เล่ม,
